id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords
348476,AR-0710,small_airport,Estancia El Reducto Airport,-39.7964,-62.31613,16,SA,AR,AR-B,Villarino,no,,,,,,
348477,AR-0711,heliport,Puerto Belgrano Naval Base Heliport,-38.88875,-62.10864,7,SA,AR,AR-B,Puerto Belgrano,no,,,,,,
348638,AR-0712,small_airport,Campamento Jorge Cepernic Airport,-50.30009,-70.15045,1270,SA,AR,AR-Z,Corpen Aike,no,,,,,,
348639,AR-0713,small_airport,Las Horquetas Airport,-51.39524,-70.23175,410,SA,AR,AR-Z,Güer Aike,no,,,,,,
348640,AR-0714,small_airport,Rospentek Airport,-51.66915,-72.13719,591,SA,AR,AR-Z,Güer Aike,no,,,,,,
348641,AR-0715,small_airport,Estancia Tapi Aike Airport,-51.05038,-71.81291,971,SA,AR,AR-Z,Güer Aike,no,,,,,,
348642,AR-0716,small_airport,Fuentes de Coyle Airport,-51.03431,-71.48158,932,SA,AR,AR-Z,Güer Aike,no,,,,,,
348643,AR-0717,small_airport,Estancia Río Bote Airport,-50.26132,-71.72777,581,SA,AR,AR-Z,Lago Argentino,no,,,,,,
348644,AR-0718,small_airport,Gendarme Barreto West Airport,-50.27839,-71.04281,823,SA,AR,AR-Z,Lago Argentino,no,,,,,,
348645,AR-0719,small_airport,Gendarme Barreto Airport,-50.28758,-70.90429,981,SA,AR,AR-Z,Lago Argentino,no,,,,,,
348646,AR-0720,small_airport,Chucuruc Aike Airport,-50.10765,-69.38463,144,SA,AR,AR-Z,Corpen Aike,no,,,,,,
348647,AR-0721,small_airport,Estancia La Julia Airport,-49.58133,-69.59216,299,SA,AR,AR-Z,Corpen Aike,no,,,,,,
348648,AR-0722,small_airport,Casa Riera Airport,-48.40504,-70.56118,1470,SA,AR,AR-Z,Río Chico,no,,,,,,
348649,AR-0723,small_airport,Estancia Silvina Airport,-48.35107,-70.80247,1644,SA,AR,AR-Z,Río Chico,no,,,,,,
348650,AR-0724,small_airport,Yacimiento el Valle Lago del Desierto Airport,-46.71752,-68.30155,814,SA,AR,AR-Z,Deseado,no,,,,,,Koluel Kayke
348749,AR-0725,small_airport,Stroeder Southeast Airport,-40.20968,-62.60485,92,SA,AR,AR-B,Stroeder,no,,,,,,
349354,AR-0726,small_airport,Bahía de los Moros Airport,-38.51425,-58.47415,60,SA,AR,AR-B,Lobería,no,,,,,,
349355,AR-0727,small_airport,Quequén Airport,-38.505,-58.69127,75,SA,AR,AR-B,Quequén,no,,,,,,
349356,AR-0728,small_airport,Campomar Airport,-38.64912,-59.00613,49,SA,AR,AR-B,Necochea,no,,,,,,
350009,AR-0729,small_airport,Aeródromo Itatí,-27.288045,-58.244662,207,SA,AR,AR-W,Itati,no,,,CTI,,,
350937,AR-0730,small_airport,El Chaltén North Airport,-49.27908,-72.88582,1366,SA,AR,AR-Z,El Chaltén,no,,,,,,
351892,AR-0731,heliport,San Fernando / Paraná Miní Heliport,-34.171068,-58.510855,16,SA,AR,AR-B,Río Paraná Miní,no,,,HMH,,,
354551,AR-0732,heliport,Hospital helipad,-32.911775,-60.681374,,SA,AR,AR-S,Rosario,no,,,,,,
354556,AR-0733,heliport,PNA Heliport,-32.943861,-60.632,46,SA,AR,AR-S,Rosario,no,,,,,,
354557,AR-0734,closed,Santa Fé City Airport,-31.659444,-60.814722,66,SA,AR,AR-S,Santa Fé,no,,,,,https://en.wikipedia.org/wiki/Santa_F%C3%A9_Airport,SAFE
429702,AR-0735,small_airport,Estancia La Pastosa Airport,-42.76575,-63.74213,,SA,AR,AR-U,Punta Delgada,no,,,,,,
5837,AR-0736,small_airport,Ushuaia Aeroclub Airport,-54.8227,-68.3043,19,SA,AR,AR-V,Ushuaia,no,SAWO,,EAU,https://www.aeroclubushuaia.com/,https://en.wikipedia.org/wiki/Ushuaia_Aeroclub,Ushuaia Naval Air Base
517209,AR-0737,small_airport,Aristóbulo del Valle Aeroclub,-27.138559,-54.887205,1542,SA,AR,AR-N,Aristóbulo del Valle,no,,,,,,Los Pioneros
553521,AR-0738,small_airport,Ingenio San Isidro airstrip,-24.68473,-65.017047,695,SA,AR,AR-A,General Güemes City,no,,,,,,"Ingenio, San, Isidro, Airstrip, Pista,"
298325,CSA,small_airport,Aerocampo CSA airport,-31.66145444,-63.27713013,630,SA,AR,AR-X,Calchin,no,CSA,,CSA,,,
42797,LCP,small_airport,Loncopue Airport,-38.081902,-70.643898,3627,SA,AR,AR-Q,Loncopue,no,,LCP,LCP,,,SA18
13,SA01,small_airport,Cachi Airport,-25.10499954,-66.15720367,8232,SA,AR,AR-A,Cachi,no,SA01,,CCS,,,SA01
14,SA02,small_airport,Cafayate Airport,-26.056101,-65.936897,5375,SA,AR,AR-A,Cafayate,no,,,CAF,,https://es.wikipedia.org/wiki/Aer%C3%B3dromo_Gilberto_Lavaque,"SA02, Gilberto Lavaque"
15,SA03,small_airport,Villa Minetti Airport,-28.6201,-61.6038,246,SA,AR,AR-S,Villa Minetti,no,SA03,,MIN,,,SA03
16,SA04,small_airport,Isla Martin Garcia Airport,-34.1821,-58.2469,6,SA,AR,AR-B,Isla Martin Garcia,no,SAAK,,MGI,,https://en.wikipedia.org/wiki/Mart%C3%ADn_Garc%C3%ADa_Island_Airport,SAAK
17,SA05,small_airport,Bell Ville Airport,-32.6599,-62.702,429,SA,AR,AR-X,Bell Ville,no,SA05,,BEL,,,SA05
18,SA06,small_airport,Santa Rita Airport,-35.8283,-60.1467,177,SA,AR,AR-B,Saladillo,no,SA06,,SSR,,,SA06
19,SA07,small_airport,El Porton Airport,-37.19432,-69.612619,2853,SA,AR,AR-Q,Buta Ranquil,no,SA07,,BRQ,,,SA07
20,SA10,small_airport,Aeródromo Estancia Don Panos,-26.2959,-59.5353,262,SA,AR,AR-H,Presidencia Roca,yes,SA10,,PDP,,,SA10
21,SA11,small_airport,Campo Arenal Airport,-27.0723,-66.586098,7622,SA,AR,AR-K,Campo Arenal,no,,,CAL,,https://en.wikipedia.org/wiki/Campo_Arenal_Aerodrome,SA11
22,SA12,small_airport,Quemu Quemu Airport,-36.0587,-63.6313,396,SA,AR,AR-L,Quemu Quemu,no,SA12,,MUQ,,,SA12
23,SA13,small_airport,Estancia La Estrella Airport,-37.559399,-58.666,456,SA,AR,AR-B,Tandil,no,SA13,,BLE,,,"SA13, SA2P, Balcarce Estancia La Estrella"
24,SA14,small_airport,Miramar Airport,-38.2271,-57.8697,42,SA,AR,AR-B,Miramar,no,SAEM,MJR,IRA,,https://en.wikipedia.org/wiki/Miramar_Airport,SA14
35329,SA15,small_airport,Lago Fagnano North Airport,-54.499699,-67.173103,600,SA,AR,AR-V,Toluhin,no,SA15,,THN,,https://en.wikipedia.org/wiki/Tolhuin_Lago_Fagnano_Airport,"SA15, Kaiken"
25,SA16,small_airport,La Puntilla Airport,-32.962799,-68.873703,3091,SA,AR,AR-M,La Puntilla,no,SA16,,DOP,http://www.aeroclubmendoza.com.ar/,https://es.wikipedia.org/wiki/Aeroclub_Mendoza,SA16
26,SA17,small_airport,Rio Cuarto Aeroclub Airport,-33.16059875,-64.33820343,1423,SA,AR,AR-X,Rio Cuarto,no,SA17,,CUA,,,SA17
35330,SA19,small_airport,Puerto Deseado West Airport,-47.7201004,-65.93240356,271,SA,AR,AR-Z,Puerto Deseado,no,SA19,,DES,,,SA19
28,SA20,small_airport,Loma La Lata Airport,-38.413799,-68.737297,1328,SA,AR,AR-Q,Neuquen,no,,,OMA,,,SA20
29,SA21,small_airport,Veinticinco De Mayo Airport,-37.80979919,-67.65930176,1138,SA,AR,AR-L,Colonia Veinticinco de Mayo,no,SA21,,MAO,,,SA21
30,SA22,small_airport,Santa Victoria Airport,-22.28569984,-62.71369934,918,SA,AR,AR-A,Salta,no,SA22,,VIT,,,SA22
31,SA23,small_airport,Apóstoles Airport,-27.90320015,-55.76549912,581,SA,AR,AR-N,Apóstoles,no,SA23,,APO,,,SA23
32,SA24,small_airport,Calilegua Airport,-23.7819,-64.749496,1449,SA,AR,AR-Y,Calilegua,no,SA24,,CLI,,https://es.wikipedia.org/wiki/Aer%C3%B3dromo_de_Calilegua,SA24
33,SA25,small_airport,Cañadon Seco Airport,-46.539,-67.5639,295,SA,AR,AR-Z,Cañadon Seco,no,SA25,,CDS,,https://es.wikipedia.org/wiki/Aer%C3%B3dromo_Caleta_Olivia,SA25
34,SA26,small_airport,Bella Vista Airport,-28.5262,-59.0385,180,SA,AR,AR-W,Bella Vista,no,SA26,,BTA,,,SA26
35331,SA27,small_airport,Puerto Rosales Airport,-38.89709854,-62.01029968,16,SA,AR,AR-B,Puerto Rosales,no,SA27,,,,,SA27
